0_SensorIndex,0_AccelX,0_AccelY,0_AccelZ,0_GyroX,0_GyroY,0_GyroZ,0_MagX,0_MagY,0_MagZ,0_Quat1,0_Quat2,0_Quat3,0_Quat4,0_Sampletime,0_Package,
0,225,149,932,-1,4,-1,-796,-184,-497,10608,-606,-2201,-12276,45263,72,
0,229,151,934,4,-6,-1,-803,-184,-497,10608,-606,-2201,-12276,45283,73,
0,224,146,930,-3,-3,2,-803,-184,-497,10608,-606,-2201,-12276,45303,74,
0,227,146,931,5,-4,-5,-803,-184,-497,10608,-606,-2201,-12276,45323,75,
0,225,148,940,5,4,-2,-809,-190,-497,10608,-605,-2202,-12276,45343,76,
0,224,148,934,2,-6,-2,-809,-190,-497,10608,-605,-2202,-12276,45363,77,
0,227,148,932,1,-1,-2,-803,-184,-504,10608,-606,-2203,-12276,45383,78,
0,227,149,938,6,5,-2,-803,-184,-504,10608,-605,-2202,-12276,45403,79,
0,237,155,928,1,-18,3,-803,-184,-504,10608,-605,-2203,-12276,45423,80,
0,228,149,930,-23,22,3,-796,-179,-504,10608,-606,-2203,-12276,45443,81,
0,227,147,934,-8,3,-4,-796,-179,-504,10608,-606,-2198,-12276,45463,82,
0,229,152,939,-8,-4,-1,-816,-190,-484,10608,-606,-2198,-12276,45483,83,
0,230,147,937,-3,-8,2,-816,-190,-484,10608,-607,-2197,-12277,45503,84,
0,234,149,938,9,-5,-6,-816,-190,-484,10608,-607,-2198,-12276,45523,85,
0,225,144,938,1,8,-3,-803,-184,-497,10608,-607,-2198,-12276,45543,86,
0,225,149,935,12,-8,-4,-803,-184,-497,10608,-607,-2198,-12276,45563,87,
0,225,147,928,4,5,-6,-796,-179,-497,10608,-607,-2199,-12276,45583,88,
0,225,153,928,6,-3,-1,-796,-179,-497,10608,-607,-2199,-12276,45603,89,
0,227,149,931,-2,3,4,-796,-179,-497,10608,-607,-2199,-12276,45623,90,
0,226,150,935,0,6,5,-792,-179,-504,10608,-607,-2199,-12276,45643,91,
0,233,149,935,2,-8,5,-792,-179,-504,10608,-607,-2199,-12276,45663,92,
0,237,150,936,2,-7,4,-803,-208,-497,10608,-607,-2199,-12276,45683,93,
0,233,148,934,-1,4,0,-803,-208,-497,10608,-607,-2199,-12276,45703,94,
0,232,149,934,7,6,-6,-803,-208,-497,10608,-607,-2199,-12276,45723,95,
0,227,150,933,6,4,-5,-796,-172,-504,10608,-607,-2199,-12276,45743,96,
0,223,149,932,1,2,-3,-796,-172,-504,10608,-607,-2199,-12276,45763,97,
0,224,149,933,4,-3,-4,-809,-172,-497,10608,-607,-2199,-12276,45783,98,
0,224,150,936,-1,-6,2,-809,-172,-497,10608,-607,-2199,-12276,45803,99,
