% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 06 January 2011  -  12:50:24 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Simple pickup of IMU
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
104 377 -38 578 1 1 354 -516 -534 -529 0 0 
105 379 -39 578 1 1 354 -516 -534 -529 0 0 
106 379 -36 578 2 1 354 -515 -534 -530 0 0 
107 378 -41 578 2 1 354 -516 -535 -530 0 0 
108 377 -34 576 2 1 354 -516 -534 -529 0 0 
109 380 -33 578 1 2 353 -516 -534 -529 0 0 
110 378 -35 577 1 2 354 -515 -534 -529 0 0 
111 378 -38 578 1 2 353 -515 -534 -529 0 0 
112 378 -38 578 1 2 353 -515 -535 -530 0 0 
113 375 -48 576 1 2 353 -515 -535 -530 0 0 
114 377 -39 578 1 1 353 -515 -534 -530 0 0 
115 381 -40 577 2 1 353 -516 -535 -531 0 0 
116 378 -41 578 2 1 354 -515 -534 -529 0 0 
117 376 -43 579 2 1 355 -516 -534 -530 0 0 
118 379 -35 576 1 1 354 -515 -534 -530 0 0 
119 375 -39 579 1 2 354 -516 -534 -529 0 0 
120 376 -40 577 1 2 354 -516 -534 -530 0 0 
121 383 -40 577 1 2 353 -515 -534 -529 0 0 
122 379 -40 578 1 2 353 -516 -534 -530 0 0 
123 379 -40 576 1 1 353 -516 -534 -530 0 0 
124 379 -42 577 2 1 353 -515 -534 -530 0 0 
125 377 -37 577 2 1 353 -516 -534 -529 0 0 
126 379 -35 576 2 1 353 -516 -534 -530 0 0 
127 379 -36 576 2 1 353 -515 -534 -530 0 0 
128 378 -42 578 2 1 353 -516 -534 -529 0 0 
129 378 -43 577 2 1 353 -515 -534 -530 0 0 
130 381 -41 577 1 2 353 -516 -534 -529 0 0 
131 378 -37 577 1 2 354 -516 -534 -530 0 0 
132 378 -34 579 1 1 353 -515 -534 -530 0 0 
133 380 -36 578 1 2 353 -515 -534 -530 0 0 
134 377 -33 580 1 2 353 -516 -534 -530 0 0 
135 378 -40 578 2 1 354 -516 -534 -530 0 0 
136 380 -40 577 2 1 354 -516 -534 -529 0 0 
137 382 -41 575 2 1 354 -516 -535 -529 0 0 
138 378 -40 577 2 1 354 -516 -534 -530 0 0 
139 379 -42 578 2 1 354 -515 -534 -530 0 0 
140 381 -44 580 1 2 353 -515 -534 -530 0 0 
141 377 -44 580 1 2 354 -515 -534 -529 0 0 
142 378 -45 578 1 2 353 -515 -534 -530 0 0 
143 379 -44 580 1 2 353 -516 -534 -529 0 0 
144 379 -45 578 1 1 352 -516 -534 -530 0 0 
145 378 -44 576 1 1 352 -515 -534 -529 0 0 
146 379 -51 580 2 1 353 -515 -533 -530 0 0 
147 380 -46 580 2 1 353 -516 -534 -529 0 0 
148 381 -36 578 2 1 354 -515 -534 -529 0 0 
149 377 -42 577 2 1 354 -516 -534 -529 0 0 
150 381 -51 579 1 1 354 -515 -535 -529 0 0 
151 377 -47 577 1 1 354 -515 -535 -530 0 0 
152 376 -48 577 1 1 353 -516 -534 -529 0 0 
153 378 -44 577 1 1 353 -515 -534 -529 0 0 
154 380 -41 579 1 1 353 -516 -534 -530 0 0 
155 379 -47 579 1 1 353 -516 -534 -529 0 0 
156 377 -45 577 2 1 354 -515 -533 -529 0 0 
157 378 -44 578 2 1 354 -515 -534 -530 0 0 
158 381 -29 577 2 1 354 -515 -534 -529 0 0 
159 383 -39 578 2 1 353 -515 -534 -529 0 0 
160 377 -37 576 2 1 353 -515 -533 -530 0 0 
