0_AccelX,0_AccelY,0_AccelZ,0_GyroX,0_GyroY,0_GyroZ
-1.05999994277954,-1.24000000953674,9.05000019073486,14.9375,8.1875,-10.4375
-0.5,-1.22000002861023,9.84000015258789,18.875,6.625,-8.6875
-0.25,-1.22000002861023,10.1800003051758,18,0.9375,-6.8125
-0.029999999329448,-1.08000004291534,10.5,9.375,-4.375,-5.6875
-0.090000003576279,-0.899999976158142,10.5600004196167,3.6875,-7.375,-2.625
0,-1.04999995231628,9.63000011444092,0.875,-6.5625,-1.8125
-0.680000007152557,-0.730000019073486,10.8000001907349,1.9375,1.6875,-2.75
-0.709999978542328,-1.12999999523163,10.039999961853,-3.125,-3.5,-0.4375
-1.4099999666214,-1.42999994754791,9.52999973297119,-11.875,0.5,4.5
-1.42999994754791,-1.26999998092651,9.47000026702881,-4.75,12.4375,6.375
-1.37999999523163,-1.3400000333786,9.5,3.0625,16.6875,6.5625
-1.4099999666214,-1.4099999666214,9.27000045776367,4.25,19.375,2.6875
-1.26999998092651,-1.29999995231628,9.10999965667725,6.25,21.6875,-0.5625
-0.730000019073486,-0.800000011920929,9.34000015258789,12.5,21.4375,-0.8125
-0.379999995231628,-0.819999992847443,9.59000015258789,16.9375,19.5625,-1.25
-0.379999995231628,-0.819999992847443,9.59000015258789,17.9375,15.5625,-2.6875
0.070000000298023,-0.610000014305115,10.4499998092651,14.25,6.3125,-4.875
-0.119999997317791,-1.21000003814697,10.9499998092651,3.8125,-5,-11.8125
-0.529999971389771,-1.41999995708466,10.5799999237061,-9.9375,-13.375,-19
-0.529999971389771,-1.41999995708466,10.5799999237061,-20.625,-17.8125,-18.6875
-0.400000005960465,-0.569999992847443,9.22999954223633,-20.25,-11.8125,-11.5625
-1.85000002384186,-1.35000002384186,9.55000019073486,1.375,18.3125,11.9375
-2.38000011444092,-1.87000000476837,9.8100004196167,24.375,44.8125,29
-1.94000005722046,-1.55999994277954,9.90999984741211,31.3125,33.75,20.4375
-1.94000005722046,-1.55999994277954,9.90999984741211,28.625,8.3125,2.8125
-0.490000009536743,-0.759999990463257,9.86999988555908,35.25,5.3125,-7.0625
-0.899999976158142,-0.709999978542328,10.0699996948242,48.625,16.1875,-3.8125
-0.569999992847443,-0.689999997615814,10.0900001525879,54.0625,16.3125,0.875
-0.449999988079071,-0.310000002384186,10.4499998092651,53.1875,10.3125,2.6875
-0.449999988079071,-0.310000002384186,10.4499998092651,47.0625,7.25,1.0625
-0.560000002384186,-0.349999994039535,10.25,37.8125,4.3125,-4
-0.850000023841858,-0.219999998807907,10.1000003814697,25.5625,-0.3125,-5.875
-1.37999999523163,-0.479999989271164,9.93000030517578,11.25,-1.75,-1.5
-1.38999998569489,-0.509999990463257,10.0600004196167,2.9375,-2.0625,3.0625
-1.38999998569489,-0.509999990463257,10.0600004196167,1.0625,-5.4375,2.75
-1.32000005245209,-0.449999988079071,10.2799997329712,1.0625,-8.0625,0.5
-1.44000005722046,-0.479999989271164,10.4099998474121,-1.8125,-10.1875,-2
-1.28999996185303,-0.439999997615814,10.1999998092651,-7.8125,-14.3125,-3.375
-1.13999998569489,-0.660000026226044,9.98999977111816,-14.125,-20.125,-5.5
-1.13999998569489,-0.660000026226044,9.98999977111816,-15.375,-23,-10.9375
-1.11000001430511,-0.889999985694885,10.0799999237061,-8.3125,-16.9375,-14.3125
-1.12999999523163,-0.610000014305115,10.3699998855591,0.125,-3.5625,-12.3125
-1,-0.550000011920929,10.6499996185303,-0.0625,4.875,-7.1875
-0.9200000166893,-0.72000002861023,10.8699998855591,-13.375,6.375,-4
-0.9200000166893,-0.72000002861023,10.8699998855591,-34.6875,8.375,-2.6875
-1.05999994277954,-0.819999992847443,10.5,-52.8125,9.8125,-1.6875
-1.37999999523163,-1.02999997138977,10.0299997329712,-66.1875,11.375,-4.375
-0.540000021457672,-0.300000011920929,10.1800003051758,-71.75,9.8125,-7.125
-1.00999999046326,-0.159999996423721,10.5299997329712,-72.8125,9.1875,-6.25
-1.00999999046326,-0.159999996423721,10.5299997329712,-85.625,11.9375,1.75
-1.70000004768372,-0.829999983310699,10.2299995422363,-111.9375,7.5625,-3.8125
-0.97000002861023,-1.35000002384186,9.67000007629395,-133.625,-8.5,-12.75
-0.810000002384186,-1.54999995231628,9.64999961853027,-138.4375,-19.25,-14.75
-1.08000004291534,-1.94000005722046,9.61999988555908,-133.8125,-15.875,-11.1875
-1.08000004291534,-1.94000005722046,9.61999988555908,-131.5,-11.375,-7.1875
-1.14999997615814,-2.35999989509583,9.81999969482422,-138.5,-9.625,-4.9375
0.280000001192093,-3.27999997138977,10.7600002288818,-153.25,-2.25,1.3125
-0.699999988079071,-2.82999992370605,9.80000019073486,-170.875,13.875,8.3125
-1.63999998569489,-2.4300000667572,8.72000026702881,-190.8125,28.875,1.875
